episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
88, 96.79605480762257, 4, 20.74850040199999, 1091, 123692,                                             123692, 0.0, 14664.015625
89, -4686.080508645595, 2, 13.750379311999495, 736, 124428,                                             124428, 0.0, 15365.5810546875
90, 4340.1959084272385, 1, 9.937828576999891, 520, 124948,                                             124948, 0.0, 16238.5615234375
91, 3936.0717754364014, 1, 4.913348039999619, 248, 125196,                                             125196, 0.0, 14569.759765625
92, -6787.138170806691, 2, 6.51754214399989, 331, 125527,                                             125527, 0.0, 21432.390625
93, 1274.1536169834435, 4, 18.35930528100107, 977, 126504,                                             126504, 0.0, 19838.7265625
94, -4169.213250785426, 3, 17.151265508000506, 916, 127420,                                             127420, 0.0, 15111.2998046875
95, 396.71938648819923, 4, 19.745584469999812, 1038, 128458,                                             128458, 0.0, 24440.251953125
96, -1318.3491748843226, 4, 19.360890023999673, 1029, 129487,                                             129487, 0.0, 15932.76953125
97, -3627.997968316078, 2, 17.35935806999987, 928, 130415,                                             130415, 0.0, 18958.51953125
98, -4729.576754182315, 2, 18.744626388001052, 988, 131403,                                             131403, 0.0, 15080.197265625
99, -3908.9387410553754, 2, 12.14201555100044, 632, 132035,                                             132035, 0.0, 16274.7861328125
100, 3752.7517647743225, 1, 3.321913845000381, 165, 132200,                                             132200, 0.0, 14864.4443359375
101, -8000.629338358063, 2, 16.50458523999987, 873, 133073,                                             133073, 0.0, 17608.791015625
102, -1064.2876742397784, 4, 17.559922746000666, 942, 134015,                                             134015, 0.0, 18513.361328125
103, -5594.657003924251, 2, 13.336545207999734, 704, 134719,                                             134719, 0.0, 18829.404296875
104, -3318.9865206126124, 3, 15.951337444001183, 854, 135573,                                             135573, 0.0, 20397.01953125
105, 907.3727721099276, 4, 18.553855558999203, 991, 136564,                                             136564, 0.0, 26753.765625
106, -4424.528999987291, 2, 13.730942805001177, 724, 137288,                                             137288, 0.0, 21034.767578125
